Codes,Description
S72.023F,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.023G,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with delayed healing"
S72.023H,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.023J,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.023K,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with nonunion"
S72.023M,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
S72.023N,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.023P,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with malunion"
S72.023Q,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
S72.023R,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.023S,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, sequela"
S72.024A,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for closed fracture"
S72.024B,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type I or II"
S72.024C,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.024D,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with routine healing"
S72.024E,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with routine healing"
S72.024F,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.024G,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with delayed healing"
S72.024H,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.024J,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.024K,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with nonunion"
S72.024M,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with nonunion"
S72.024N,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.024P,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with malunion"
S72.024Q,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with malunion"
S72.024R,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.024S,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, sequela"
S72.025A,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for closed fracture"
S72.025B,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for open fracture type I or II"
S72.025C,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.025D,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with routine healing"
S72.025E,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with routine healing"
S72.025F,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.025G,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with delayed healing"
S72.025H,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.025J,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.025K,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with nonunion"
S72.025M,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with nonunion"
S72.025N,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.025P,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with malunion"
S72.025Q,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with malunion"
S72.025R,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.025S,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, sequela"
S72.026A,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for closed fracture"
S72.026B,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type I or II"
S72.026C,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.026D,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with routine healing"
S72.026E,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
S72.026F,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.026G,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with delayed healing"
S72.026H,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.026J,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.026K,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with nonunion"
S72.026M,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
S72.026N,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.026P,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with malunion"
S72.026Q,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
S72.026R,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.026S,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, sequela"
S72.031A,"Displaced midcervical fracture of right femur, initial encounter for closed fracture"
S72.031B,"Displaced midcervical fracture of right femur, initial encounter for open fracture type I or II"
S72.031C,"Displaced midcervical fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.031D,"Displaced midcervical fracture of right femur, subsequent encounter for closed fracture with routine healing"
S72.031E,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with routine healing"
S72.031F,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S72.031G,"Displaced midcervical fracture of right femur, subsequent encounter for closed fracture with delayed healing"
S72.031H,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing"
S72.031J,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S72.031K,"Displaced midcervical fracture of right femur, subsequent encounter for closed fracture with nonunion"
S72.031M,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with nonunion"
S72.031N,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S72.031P,"Displaced midcervical fracture of right femur, subsequent encounter for closed fracture with malunion"
S72.031Q,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type I or II with malunion"
S72.031R,"Displaced midcervical fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S72.031S,"Displaced midcervical fracture of right femur, sequela"
S72.032A,"Displaced midcervical fracture of left femur, initial encounter for closed fracture"
S72.032B,"Displaced midcervical fracture of left femur, initial encounter for open fracture type I or II"
S72.032C,"Displaced midcervical fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S72.032D,"Displaced midcervical fracture of left femur, subsequent encounter for closed fracture with routine healing"
S72.032E,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with routine healing"
S72.032F,"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
